cod_proposta,cod_cliente,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta,cod_colaborador,taxa_juros_mensal_decimal,data_entrada_date
1401,66,2019-02-15 00:02:45,0.0244,14279.96,16877.20,2597.24,989.75,18,3,Em análise,71,,024400,2019-02-15
1402,773,2010-08-27 01:47:09,0.0143,42692.91,70734.39,28041.48,1126.36,55,1,Em análise,85,,014300,2010-08-27
1403,104,2017-12-31 16:48:23,0.0083,105541.66,181977.25,76435.59,3178.90,39,6,Em análise,33,,008300,2017-12-31
1404,424,2021-08-11 15:33:28,0.0099,72467.68,90672.57,18204.89,1386.05,74,0,Enviada,31,,009900,2021-08-11
1405,856,2011-09-05 04:50:26,0.0188,64049.71,85282.05,21232.34,2064.34,47,5,Aprovada,84,,018800,2011-09-05
1406,120,2014-03-07 08:04:51,0.0149,111251.43,181158.62,69907.19,9476.77,13,3,Em análise,35,,014900,2014-03-07
1407,667,2010-07-07 02:02:57,0.0094,66156.24,89567.96,23411.72,1335.25,67,0,Validação documentos,43,,009400,2010-07-07
1408,660,2021-08-18 15:58:09,0.0224,16288.50,20309.99,4021.49,398.99,111,5,Aprovada,51,,022400,2021-08-18
1409,95,2011-06-21 01:03:38,0.0179,36968.35,44757.84,7789.49,788.56,103,4,Enviada,24,,017900,2011-06-21
141,369,2010-09-20 19:52:34,0.0134,31005.55,47339.86,16334.31,542.65,109,0,Aprovada,77,,013400,2010-09-20
1410,840,2014-06-04 20:30:34,0.0154,189484.99,233508.24,44023.25,4861.29,60,6,Aprovada,47,,015400,2014-06-04
1411,107,2014-05-16 01:07:04,0.0170,74705.40,118591.27,43885.87,1590.69,95,4,Enviada,30,,017000,2014-05-16
1412,29,2016-05-27 16:21:41,0.0133,89540.98,108788.44,19247.46,1712.27,90,4,Validação documentos,62,,013300,2016-05-27
1413,498,2020-08-21 12:01:47,0.0177,1702.59,2118.23,415.64,97.78,21,1,Enviada,12,,017700,2020-08-21
1414,467,2019-11-21 06:54:43,0.0180,77389.43,125685.43,48296.00,5609.84,16,5,Em análise,79,,018000,2019-11-21
1415,82,2018-10-23 09:29:32,0.0240,68426.28,104815.19,36388.91,1840.24,94,6,Validação documentos,20,,024000,2018-10-23
1416,438,2021-01-23 02:40:11,0.0162,36243.95,47235.20,10991.25,2049.90,21,3,Aprovada,73,,016200,2021-01-23
1417,308,2014-02-20 03:19:33,0.0135,30035.87,38245.11,8209.24,506.89,120,5,Enviada,95,,013500,2014-02-20
1418,81,2012-06-10 22:30:10,0.0091,190412.93,248007.51,57594.58,96508.00,2,1,Aprovada,92,,009100,2012-06-10
1419,104,2021-06-25 03:25:39,0.0221,1208.69,1608.90,400.21,30.95,91,4,Validação documentos,68,,022100,2021-06-25
142,431,2021-08-02 13:35:59,0.0214,163191.44,222265.97,59074.53,29271.68,6,1,Validação documentos,4,,021400,2021-08-02
1420,661,2012-06-15 09:19:45,0.0229,115475.14,175842.38,60367.24,2958.90,99,6,Em análise,27,,022900,2012-06-15
1421,679,2012-08-17 01:47:56,0.0116,14995.90,22395.26,7399.36,240.93,111,5,Aprovada,77,,011600,2012-08-17
1422,933,2020-01-27 19:26:17,0.0084,111889.34,201769.91,89880.57,1571.19,109,6,Enviada,71,,008400,2020-01-27
1423,379,2011-02-27 00:03:16,0.0167,174870.84,237069.16,62198.32,3977.65,80,1,Enviada,66,,016700,2011-02-27
1424,124,2011-08-17 04:00:58,0.0086,157556.26,229150.72,71594.46,11993.37,14,2,Enviada,53,,008600,2011-08-17
1425,682,2017-12-17 00:23:37,0.0199,41794.26,76403.18,34608.92,1669.24,35,4,Em análise,14,,019900,2017-12-17
1426,226,2014-05-22 23:34:37,0.0157,203774.31,243811.26,40036.95,4675.63,74,6,Aprovada,38,,015700,2014-05-22
1427,483,2010-09-15 21:29:54,0.0230,79583.05,99754.25,20171.20,2236.81,75,3,Aprovada,45,,023000,2010-09-15
1428,924,2012-05-28 08:59:28,0.0245,24740.02,39246.81,14506.79,681.44,91,0,Em análise,11,,024500,2012-05-28
1429,86,2010-12-31 04:58:17,0.0103,20872.37,29297.42,8425.05,324.50,106,3,Validação documentos,82,,010300,2010-12-31
143,519,2015-05-10 13:26:19,0.0124,69325.85,101029.22,31703.37,2511.36,34,4,Validação documentos,35,,012400,2015-05-10
1430,497,2014-04-27 22:06:46,0.0142,62921.28,108336.83,45415.55,1901.83,45,2,Aprovada,68,,014200,2014-04-27
1431,632,2016-08-23 09:34:29,0.0131,101033.29,175702.67,74669.38,2017.47,82,3,Enviada,85,,013100,2016-08-23
1432,715,2015-01-17 06:59:11,0.0098,119988.93,183409.96,63421.03,1735.95,116,0,Validação documentos,3,,009800,2015-01-17
1433,495,2013-08-12 04:15:35,0.0090,129773.93,230460.81,100686.88,2208.42,84,1,Em análise,7,,009000,2013-08-12
1434,560,2020-01-31 00:02:49,0.0169,137637.62,192947.94,55310.32,2861.61,100,0,Enviada,1,,016900,2020-01-31
1435,699,2014-03-21 03:08:24,0.0209,3659.28,4408.73,749.45,89.56,93,1,Aprovada,48,,020900,2014-03-21
1436,821,2013-08-16 12:38:48,0.0235,102961.22,135519.05,32557.83,2613.39,112,4,Aprovada,98,,023500,2013-08-16
1437,124,2010-03-08 08:56:10,0.0170,47360.19,70478.49,23118.30,1290.61,58,2,Em análise,88,,017000,2010-03-08
1438,261,2017-02-27 22:52:51,0.0201,72067.26,138914.27,66847.01,1688.75,98,2,Validação documentos,40,,020100,2017-02-27
1439,999,2019-04-27 09:26:45,0.0230,142746.74,187878.54,45131.80,4012.13,75,4,Validação documentos,45,,023000,2019-04-27
144,962,2010-09-19 00:10:09,0.0226,2424.35,4049.81,1625.46,84.27,47,4,Aprovada,50,,022600,2010-09-19
1440,22,2015-08-25 06:44:30,0.0180,119168.44,150234.62,31066.18,8199.45,17,5,Aprovada,37,,018000,2015-08-25
1441,342,2021-02-26 21:19:33,0.0239,35917.27,55694.86,19777.59,968.70,92,4,Validação documentos,58,,023900,2021-02-26
1442,335,2013-05-30 10:46:12,0.0230,15166.13,27079.22,11913.09,440.57,69,3,Aprovada,57,,023000,2013-05-30
1443,214,2017-07-29 02:45:57,0.0214,160636.69,204113.58,43476.89,6115.54,39,0,Enviada,71,,021400,2017-07-29
1444,77,2014-08-03 17:23:00,0.0109,122820.61,164298.71,41478.10,2239.69,84,5,Enviada,82,,010900,2014-08-03
1445,832,2021-01-05 01:58:46,0.0110,117153.43,148156.89,31003.46,4480.58,31,6,Aprovada,97,,011000,2021-01-05
1446,295,2015-03-19 03:08:29,0.0088,143932.39,234909.33,90976.94,4916.60,34,6,Validação documentos,93,,008800,2015-03-19
1447,698,2012-06-19 17:42:04,0.0154,64261.64,127423.73,63162.09,6395.51,11,2,Enviada,73,,015400,2012-06-19
1448,255,2016-07-28 11:52:04,0.0126,180840.88,226713.08,45872.20,4413.55,58,0,Aprovada,36,,012600,2016-07-28
1449,86,2010-11-19 22:12:37,0.0167,71251.06,96174.12,24923.06,1592.74,83,3,Aprovada,34,,016700,2010-11-19
145,264,2021-12-06 21:08:15,0.0217,3769.86,5204.11,1434.25,90.53,109,5,Aprovada,76,,021700,2021-12-06
1450,920,2014-11-09 01:19:32,0.0140,3656.33,4440.22,783.89,75.75,81,6,Validação documentos,48,,014000,2014-11-09
1451,365,2017-03-18 19:49:18,0.0166,131772.22,184433.19,52660.97,3301.06,66,4,Em análise,11,,016600,2017-03-18
1452,294,2019-09-06 07:46:46,0.0081,109623.09,163655.78,54032.69,2314.09,60,4,Validação documentos,94,,008100,2019-09-06
1453,273,2013-04-24 13:11:23,0.0094,31657.40,52661.87,21004.47,502.08,96,4,Aprovada,72,,009400,2013-04-24
1454,243,2010-02-16 17:52:27,0.0244,18572.26,33236.37,14664.11,1140.76,21,6,Validação documentos,78,,024400,2010-02-16
1455,925,2016-07-19 15:27:45,0.0120,33474.67,55191.55,21716.88,1176.93,35,0,Validação documentos,6,,012000,2016-07-19
1456,937,2013-05-14 07:59:02,0.0206,22199.42,38132.46,15933.04,542.07,91,2,Aprovada,21,,020600,2013-05-14
1457,770,2014-07-04 00:46:18,0.0194,16914.96,21365.48,4450.52,467.48,63,3,Enviada,27,,019400,2014-07-04
1458,667,2012-04-04 15:06:18,0.0105,154225.19,195648.44,41423.25,3250.98,66,3,Aprovada,63,,010500,2012-04-04
1459,385,2014-07-25 02:47:05,0.0138,35237.55,59888.77,24651.22,740.53,78,3,Enviada,79,,013800,2014-07-25
146,666,2018-05-31 15:02:54,0.0211,163973.74,224240.67,60266.93,4304.30,78,5,Validação documentos,81,,021100,2018-05-31
1460,302,2021-10-22 06:18:32,0.0198,161765.46,197885.02,36119.56,3603.91,112,1,Enviada,62,,019800,2021-10-22
1461,606,2015-10-07 18:41:47,0.0107,49796.93,78784.47,28987.54,25298.80,2,1,Aprovada,41,,010700,2015-10-07
1462,252,2022-01-10 21:42:55,0.0090,115885.32,210424.71,94539.39,3971.63,34,5,Enviada,39,,009000,2022-01-10
1463,193,2011-11-10 23:13:01,0.0116,8431.56,16504.27,8072.71,135.46,111,6,Aprovada,97,,011600,2011-11-10
1464,357,2017-06-02 16:30:58,0.0082,46616.97,63660.16,17043.19,763.75,85,0,Em análise,71,,008200,2017-06-02
1466,105,2015-08-16 04:19:44,0.0182,101145.62,194336.22,93190.60,2263.89,93,1,Enviada,18,,018200,2015-08-16
1467,220,2012-03-03 08:40:01,0.0134,179635.07,230689.86,51054.79,4755.91,53,6,Aprovada,53,,013400,2012-03-03
1468,844,2014-04-03 05:15:42,0.0198,33564.50,57309.29,23744.79,827.05,83,0,Validação documentos,88,,019800,2014-04-03
1469,895,2022-04-08 06:23:32,0.0199,38892.28,68709.07,29816.79,1298.52,46,6,Enviada,2,,019900,2022-04-08
147,462,2017-10-21 00:59:14,0.0233,131609.78,173677.47,42067.69,3485.26,92,5,Enviada,77,,023300,2017-10-21
1470,660,2017-07-05 19:19:38,0.0178,41604.71,83041.15,41436.44,848.21,117,3,Validação documentos,26,,017800,2017-07-05
1471,196,2016-01-09 21:54:53,0.0088,162995.52,232447.69,69452.17,7859.15,23,5,Validação documentos,77,,008800,2016-01-09
1472,870,2017-06-04 10:48:43,0.0137,32196.43,56689.92,24493.49,837.19,55,6,Aprovada,67,,013700,2017-06-04
1473,85,2019-12-09 08:00:16,0.0239,14396.76,22385.06,7988.30,481.90,53,2,Validação documentos,94,,023900,2019-12-09
1474,123,2019-06-28 00:53:04,0.0126,104405.01,162018.64,57613.63,8181.34,14,0,Aprovada,87,,012600,2019-06-28
1475,645,2012-03-25 02:52:19,0.0229,112197.95,134935.01,22737.06,2845.62,103,3,Enviada,46,,022900,2012-03-25
1476,928,2018-12-06 14:43:05,0.0211,154585.07,236248.08,81663.01,13720.74,13,0,Em análise,18,,021100,2018-12-06
1477,624,2016-07-28 02:44:22,0.0161,10901.78,15435.03,4533.25,212.13,110,5,Enviada,27,,016100,2016-07-28
1478,637,2014-01-15 10:08:53,0.0138,125713.57,172106.20,46392.63,2537.19,84,3,Validação documentos,47,,013800,2014-01-15
1479,934,2022-04-07 00:51:09,0.0100,34973.73,62997.85,28024.12,878.78,51,5,Aprovada,48,,010000,2022-04-07
148,977,2016-05-03 07:39:34,0.0185,21409.03,33942.43,12533.40,509.37,82,3,Aprovada,14,,018500,2016-05-03
1480,453,2010-12-22 23:27:57,0.0189,37387.58,66916.64,29529.06,3270.69,13,3,Validação documentos,66,,018900,2010-12-22
1481,303,2015-01-16 08:00:35,0.0186,55585.78,73368.85,17783.07,1294.35,87,6,Aprovada,92,,018600,2015-01-16
1482,38,2015-02-16 15:56:08,0.0087,8105.08,15004.54,6899.46,144.87,77,1,Enviada,97,,008700,2015-02-16
1483,905,2012-02-13 03:17:30,0.0235,130116.96,245412.65,115295.69,5396.17,36,4,Em análise,27,,023500,2012-02-13
1484,31,2021-07-13 13:37:16,0.0117,137722.27,207913.53,70191.26,2840.82,72,5,Em análise,4,,011700,2021-07-13
1485,534,2012-06-16 13:42:10,0.0193,23033.62,34129.87,11096.25,781.60,44,0,Aprovada,10,,019300,2012-06-16
1486,48,2015-10-10 08:34:37,0.0226,77772.97,113222.40,35449.43,79530.64,1,0,Em análise,14,,022600,2015-10-10
1487,136,2017-09-11 17:02:28,0.0088,146053.18,218806.14,72752.96,2244.90,97,2,Em análise,63,,008800,2017-09-11
1488,789,2014-02-17 11:10:18,0.0142,77679.07,101179.58,23500.51,1405.23,109,1,Validação documentos,96,,014200,2014-02-17
1489,584,2019-09-22 04:04:37,0.0163,18896.79,26491.41,7594.62,570.62,48,5,Enviada,27,,016300,2019-09-22
149,672,2013-01-12 20:16:52,0.0191,4958.79,5938.39,979.60,107.65,112,4,Enviada,36,,019100,2013-01-12
1490,343,2019-04-15 20:24:05,0.0128,64058.78,81232.93,17174.15,1536.09,60,2,Aprovada,29,,012800,2019-04-15
1491,250,2016-10-23 12:31:21,0.0106,147577.15,224493.97,76916.82,7555.91,22,3,Em análise,27,,010600,2016-10-23
1492,833,2010-01-30 10:07:52,0.0198,192837.34,248966.65,56129.31,99291.66,2,0,Aprovada,59,,019800,2010-01-30
1493,671,2022-05-01 05:41:11,0.0111,161797.49,199091.85,37294.36,12542.08,14,2,Aprovada,74,,011100,2022-05-01
1494,162,2019-04-09 02:26:52,0.0186,168631.68,212208.65,43576.97,8001.32,27,2,Em análise,10,,018600,2019-04-09
1495,995,2015-02-15 19:55:55,0.0105,147908.10,234745.56,86837.46,10709.00,15,4,Aprovada,57,,010500,2015-02-15
1496,844,2011-09-29 00:33:30,0.0102,83829.25,150136.05,66306.80,1247.27,114,0,Aprovada,10,,010200,2011-09-29
1497,165,2014-11-29 20:29:45,0.0227,64909.02,109554.72,44645.70,1859.90,70,4,Aprovada,84,,022700,2014-11-29
1498,756,2014-03-08 13:31:09,0.0129,53892.40,93705.03,39812.63,987.41,95,0,Validação documentos,84,,012900,2014-03-08
1499,986,2011-11-23 08:50:33,0.0090,9742.68,14569.05,4826.37,134.36,118,6,Aprovada,3,,009000,2011-11-23
15,568,2017-05-21 20:23:48,0.0161,40750.95,81348.38,40597.43,3499.24,13,2,Validação documentos,99,,016100,2017-05-21
150,894,2019-12-28 06:30:06,0.0244,79253.65,140411.41,61157.76,4042.04,27,3,Enviada,68,,024400,2019-12-28
1500,673,2017-07-25 11:03:15,0.0237,153458.11,186909.25,33451.14,4167.44,88,1,Aprovada,3,,023700,2017-07-25
1501,879,2017-11-30 21:46:42,0.0112,120345.37,226771.35,106425.98,6202.25,22,1,Enviada,74,,011200,2017-11-30
1502,523,2021-10-24 02:27:55,0.0112,39520.71,62793.15,23272.44,1404.12,34,6,Em análise,57,,011200,2021-10-24
1503,775,2021-12-27 10:32:26,0.0224,54938.94,101545.12,46606.18,3190.19,22,3,Em análise,81,,022400,2021-12-27
1504,485,2010-06-19 08:17:58,0.0230,186991.78,243210.81,56219.03,4714.57,107,4,Enviada,54,,023000,2010-06-19
1505,8,2010-04-12 11:33:17,0.0219,67263.72,114766.43,47502.71,1865.08,72,3,Aprovada,24,,021900,2010-04-12
1506,967,2015-04-10 01:24:20,0.0164,21632.99,31454.17,9821.18,1548.20,16,0,Validação documentos,67,,016400,2015-04-10
1507,442,2016-06-28 03:46:21,0.0245,44850.46,74367.28,29516.82,4700.83,11,5,Enviada,45,,024500,2016-06-28
1509,828,2017-11-17 16:49:36,0.0107,20351.40,39761.78,19410.38,527.69,50,1,Em análise,41,,010700,2017-11-17
151,579,2012-05-10 08:11:49,0.0084,34995.30,59994.20,24998.90,1079.55,38,0,Enviada,100,,008400,2012-05-10
1510,781,2018-08-02 23:09:45,0.0227,106652.51,166759.20,60106.69,2865.78,83,4,Validação documentos,7,,022700,2018-08-02
1511,929,2016-04-05 18:49:28,0.0145,149434.98,233106.08,83671.10,3357.79,72,6,Validação documentos,42,,014500,2016-04-05
1512,895,2020-11-19 13:33:14,0.0179,99892.97,174480.38,74587.41,5156.65,24,3,Enviada,33,,017900,2020-11-19
1513,788,2020-01-09 00:19:53,0.0242,137192.37,227660.97,90468.60,3621.25,104,0,Aprovada,66,,024200,2020-01-09
1514,428,2013-12-23 04:44:33,0.0208,175681.77,222843.78,47162.01,5445.92,54,4,Validação documentos,98,,020800,2013-12-23
1515,845,2018-09-24 09:20:31,0.0143,51909.58,67405.30,15495.72,1816.47,37,2,Enviada,21,,014300,2018-09-24
1516,933,2020-09-12 18:09:07,0.0096,89242.32,159243.81,70001.49,2643.33,41,3,Validação documentos,29,,009600,2020-09-12
1517,700,2022-07-19 15:54:15,0.0144,134358.30,164296.25,29937.95,2441.29,110,6,Validação documentos,25,,014400,2022-07-19
1518,504,2022-03-19 10:28:19,0.0177,133231.81,164079.95,30848.14,3622.38,60,5,Enviada,26,,017700,2022-03-19
1519,557,2015-11-12 04:30:36,0.0250,125084.26,164040.07,38955.81,3316.20,116,2,Aprovada,80,,025000,2015-11-12
152,569,2015-09-03 17:27:44,0.0100,102555.08,151511.08,48956.00,5683.12,20,2,Aprovada,4,,010000,2015-09-03
1520,510,2012-10-14 20:52:48,0.0180,112487.74,224818.40,112330.66,4359.84,35,6,Validação documentos,56,,018000,2012-10-14
1521,221,2017-11-12 11:17:28,0.0118,6775.98,10732.24,3956.26,325.85,24,1,Enviada,83,,011800,2017-11-12
1522,273,2010-05-25 07:21:37,0.0182,125651.84,236633.76,110981.92,4305.29,42,5,Em análise,18,,018200,2010-05-25
1523,247,2020-07-31 08:21:22,0.0215,75466.07,142225.29,66759.22,2536.03,48,3,Em análise,19,,021500,2020-07-31
1524,71,2014-11-15 02:36:18,0.0152,27295.90,52005.89,24709.99,530.50,101,5,Em análise,97,,015200,2014-11-15
1525,38,2010-05-11 13:57:51,0.0238,82323.93,159786.54,77462.61,2250.03,87,1,Aprovada,30,,023800,2010-05-11
1526,735,2022-05-29 04:33:30,0.0108,110065.12,194494.67,84429.55,8513.42,14,3,Em análise,26,,010800,2022-05-29
1527,951,2013-02-06 06:14:55,0.0114,29919.04,59601.77,29682.73,641.01,67,6,Aprovada,94,,011400,2013-02-06
1528,593,2016-08-12 03:09:18,0.0123,137478.28,241807.06,104328.78,6210.28,26,6,Aprovada,99,,012300,2016-08-12
1529,64,2015-08-24 13:23:03,0.0172,125748.13,228795.46,103047.33,2756.97,90,4,Aprovada,10,,017200,2015-08-24
153,23,2016-03-31 17:03:09,0.0174,189270.13,247869.01,58598.88,6191.89,44,6,Aprovada,56,,017400,2016-03-31
1530,605,2010-07-24 13:44:13,0.0161,86186.72,105665.09,19478.37,2045.85,71,1,Validação documentos,1,,016100,2010-07-24
1531,27,2017-12-11 19:24:01,0.0113,9530.23,15679.65,6149.42,212.27,63,3,Validação documentos,15,,011300,2017-12-11
1532,365,2016-04-04 00:58:07,0.0214,32044.13,41368.00,9323.87,775.16,102,3,Validação documentos,5,,021400,2016-04-04
1533,60,2019-08-25 20:05:55,0.0240,83633.70,158652.15,75018.45,43328.20,2,1,Validação documentos,97,,024000,2019-08-25
1534,708,2018-05-05 22:53:38,0.0213,37921.27,51609.70,13688.43,1861.36,27,0,Em análise,11,,021300,2018-05-05
1535,236,2011-06-30 06:43:51,0.0151,155986.40,188190.55,32204.15,10472.43,17,5,Enviada,79,,015100,2011-06-30
1536,197,2021-10-19 04:18:17,0.0087,115504.69,220508.17,105003.48,1816.57,93,4,Validação documentos,71,,008700,2021-10-19
1537,815,2016-11-21 06:07:09,0.0197,74727.48,91071.93,16344.45,1810.29,86,4,Em análise,43,,019700,2016-11-21
1538,925,2013-07-15 14:40:07,0.0083,93043.10,140029.33,46986.23,1610.50,79,2,Enviada,66,,008300,2013-07-15
1539,157,2010-05-22 19:19:08,0.0106,21563.42,33002.82,11439.40,2087.18,11,3,Em análise,94,,010600,2010-05-22
154,483,2015-10-03 20:23:11,0.0240,12881.78,23821.87,10940.09,348.48,92,0,Validação documentos,93,,024000,2015-10-03
1540,984,2022-03-17 00:37:06,0.0237,134454.66,170958.40,36503.74,3953.81,70,3,Enviada,16,,023700,2022-03-17
1541,451,2022-07-30 11:38:15,0.0081,102125.02,133649.41,31524.39,1534.57,96,2,Aprovada,82,,008100,2022-07-30
1542,215,2013-05-13 08:42:24,0.0120,76574.24,94102.40,17528.16,1216.65,118,0,Enviada,73,,012000,2013-05-13
1543,172,2017-02-15 20:01:29,0.0233,97455.12,185670.94,88215.82,2709.97,79,2,Em análise,47,,023300,2017-02-15
1544,677,2018-09-28 19:30:19,0.0236,80281.84,138404.47,58122.63,2555.13,58,5,Enviada,89,,023600,2018-09-28
1545,152,2011-02-03 22:42:37,0.0223,48225.02,87348.45,39123.43,1246.70,90,2,Em análise,48,,022300,2011-02-03
1546,579,2015-11-21 19:02:10,0.0175,5799.40,10184.94,4385.54,1221.48,5,0,Enviada,94,,017500,2015-11-21
1547,638,2017-01-07 06:23:03,0.0233,44760.81,61835.32,17074.51,1541.62,49,5,Enviada,27,,023300,2017-01-07
1548,965,2020-12-21 19:50:19,0.0102,75743.01,100845.96,25102.95,1971.82,49,6,Enviada,50,,010200,2020-12-21
1549,658,2020-11-23 03:50:19,0.0247,58686.45,110594.38,51907.93,1631.00,90,6,Aprovada,47,,024700,2020-11-23
155,140,2010-08-10 14:49:13,0.0127,109902.59,205505.77,95603.18,1946.91,100,4,Em análise,26,,012700,2010-08-10
1550,814,2014-10-26 15:21:31,0.0117,25528.13,38960.17,13432.04,436.75,99,1,Em análise,84,,011700,2014-10-26
1551,338,2019-06-04 03:50:19,0.0209,5777.85,9370.72,3592.87,165.80,63,3,Aprovada,59,,020900,2019-06-04
1552,609,2017-05-26 12:20:42,0.0182,69729.76,98243.68,28513.92,70998.84,1,5,Enviada,90,,018200,2017-05-26
1553,818,2021-06-16 00:39:39,0.0225,118432.92,218435.54,100002.62,3177.19,82,2,Validação documentos,89,,022500,2021-06-16
1554,274,2016-10-15 19:55:58,0.0179,34783.91,69257.62,34473.71,925.19,63,1,Validação documentos,9,,017900,2016-10-15
1555,562,2017-05-05 11:31:55,0.0102,125720.20,211913.34,86193.14,2186.74,87,6,Enviada,22,,010200,2017-05-05
1556,58,2022-02-24 13:47:33,0.0126,158065.16,193160.85,35095.69,2580.51,118,3,Validação documentos,24,,012600,2022-02-24
1557,662,2019-12-22 11:27:04,0.0090,14318.61,24358.26,10039.65,197.47,118,6,Em análise,66,,009000,2019-12-22
1558,705,2015-02-20 09:56:21,0.0219,34984.64,41769.25,6784.61,884.06,93,4,Validação documentos,3,,021900,2015-02-20
1559,981,2016-04-16 01:51:59,0.0188,181322.59,224026.85,42704.26,5020.80,61,4,Aprovada,77,,018800,2016-04-16
156,531,2012-10-15 04:39:20,0.0223,130959.31,236890.13,105930.82,23561.42,6,2,Validação documentos,3,,022300,2012-10-15
1560,876,2019-12-20 02:23:33,0.0234,91002.52,117029.98,26027.46,3583.27,39,3,Em análise,54,,023400,2019-12-20
1561,169,2012-11-21 21:23:06,0.0099,170965.97,243971.50,73005.53,3030.36,83,6,Aprovada,56,,009900,2012-11-21
1562,998,2017-03-22 12:25:42,0.0147,114794.47,165036.26,50241.79,3505.12,45,0,Validação documentos,100,,014700,2017-03-22
1563,624,2015-04-13 12:39:18,0.0158,100596.54,121817.81,21221.27,2690.28,57,3,Enviada,85,,015800,2015-04-13
1564,419,2013-11-10 00:28:30,0.0218,13502.18,21466.99,7964.81,1668.47,9,5,Enviada,3,,021800,2013-11-10
1565,954,2016-05-29 22:28:51,0.0154,130883.38,173686.83,42803.45,4184.57,43,1,Aprovada,18,,015400,2016-05-29
1566,648,2015-10-07 14:06:02,0.0165,15578.91,30167.01,14588.10,4056.70,4,4,Enviada,4,,016500,2015-10-07
1567,322,2018-06-16 22:36:34,0.0099,99162.61,123829.91,24667.30,5489.60,20,1,Aprovada,10,,009900,2018-06-16
1568,775,2011-09-11 19:27:48,0.0204,142948.14,237373.46,94425.32,3247.66,113,0,Aprovada,15,,020400,2011-09-11
1569,659,2010-07-18 17:58:52,0.0138,104778.42,146684.86,41906.44,5347.84,23,4,Em análise,68,,013800,2010-07-18
157,432,2014-12-05 01:58:14,0.0163,34704.05,61034.51,26330.46,2047.36,20,4,Enviada,87,,016300,2014-12-05
1570,118,2013-01-17 04:29:17,0.0176,188145.67,237620.42,49474.75,8126.01,30,5,Enviada,43,,017600,2013-01-17
1571,319,2018-11-07 08:20:06,0.0207,129851.91,221686.62,91834.71,66948.79,2,5,Aprovada,55,,020700,2018-11-07
1572,950,2017-06-10 00:24:36,0.0124,96023.28,148429.81,52406.53,1559.48,117,5,Validação documentos,50,,012400,2017-06-10
1573,395,2013-01-20 11:07:21,0.0125,131608.20,167117.91,35509.71,2490.08,87,3,Enviada,4,,012500,2013-01-20
1574,494,2017-06-29 15:17:51,0.0129,113387.00,151837.65,38450.65,3793.55,38,3,Validação documentos,76,,012900,2017-06-29
1575,743,2010-08-24 06:02:33,0.0234,55364.15,69378.04,14013.89,2146.49,40,4,Validação documentos,88,,023400,2010-08-24
1576,843,2012-09-07 20:07:09,0.0131,142097.95,227374.90,85276.95,7783.88,21,3,Validação documentos,66,,013100,2012-09-07
1577,673,2021-03-31 01:29:30,0.0101,11791.17,18333.52,6542.35,173.82,115,0,Aprovada,82,,010100,2021-03-31
1578,527,2022-06-21 18:40:39,0.0093,173305.89,224957.59,51651.70,12431.88,15,3,Validação documentos,26,,009300,2022-06-21
1579,243,2015-03-12 19:56:53,0.0152,52774.42,67777.71,15003.29,1875.35,37,5,Enviada,24,,015200,2015-03-12
158,261,2019-05-02 03:54:25,0.0131,47584.74,58186.96,10602.22,1362.32,47,3,Validação documentos,91,,013100,2019-05-02
1580,684,2010-07-20 17:53:43,0.0132,50119.08,95137.69,45018.61,1652.43,39,3,Aprovada,65,,013200,2010-07-20
1581,581,2014-07-19 07:38:52,0.0139,67933.35,115153.35,47220.00,1453.27,76,6,Enviada,52,,013900,2014-07-19
1582,601,2017-11-06 10:52:21,0.0144,81293.82,96923.58,15629.76,2549.05,43,6,Validação documentos,90,,014400,2017-11-06
1583,160,2021-01-27 03:14:46,0.0087,57813.79,106288.07,48474.28,6706.42,9,0,Validação documentos,32,,008700,2021-01-27
1584,322,2014-12-31 01:15:41,0.0203,35841.42,64959.17,29117.75,863.51,92,6,Validação documentos,72,,020300,2014-12-31
1585,856,2020-10-12 00:32:46,0.0210,109688.63,175685.25,65996.62,5088.67,29,3,Em análise,68,,021000,2020-10-12
1586,526,2013-07-03 02:44:11,0.0131,44197.99,72577.21,28379.22,1426.67,40,4,Em análise,35,,013100,2013-07-03
1587,323,2017-03-19 07:51:54,0.0237,134154.77,184008.83,49854.06,4657.53,49,0,Enviada,75,,023700,2017-03-19
1588,889,2011-07-23 03:55:31,0.0146,19969.46,28148.71,8179.25,3500.37,6,0,Validação documentos,73,,014600,2011-07-23
1589,311,2015-01-05 12:26:37,0.0145,165366.86,208017.36,42650.50,4805.96,48,0,Enviada,61,,014500,2015-01-05
159,873,2011-12-15 22:35:43,0.0245,61178.43,74835.28,13656.85,4443.33,17,2,Aprovada,40,,024500,2011-12-15
1590,450,2010-01-08 06:53:18,0.0127,22086.76,35165.82,13079.06,707.67,40,0,Enviada,82,,012700,2010-01-08
1591,260,2010-09-25 20:06:42,0.0193,115049.79,199024.51,83974.72,24359.21,5,4,Em análise,18,,019300,2010-09-25
1592,357,2020-02-08 17:56:18,0.0109,179134.54,239219.58,60085.04,10016.99,20,6,Validação documentos,68,,010900,2020-02-08
1593,317,2017-12-28 19:30:31,0.0135,131054.29,225354.74,94300.45,2276.16,112,1,Validação documentos,19,,013500,2017-12-28
1594,922,2019-12-18 05:30:13,0.0195,12038.87,15517.87,3479.00,292.52,84,0,Aprovada,57,,019500,2019-12-18
